title,x,y
( ͡° ͜ʖ ͡°) / Lenny Face | Know Your Meme,24.034494,-4.6932664
друг / Apyr | Know Your Meme,-5.4924536,9.622607
"""Нет!"" / ""No!"" Poster | Know Your Meme",19.580137,1.86156
ಠ_ಠ Look of Disapproval | Know Your Meme,24.992413,-3.5953493
0.5x A Presses / But First We Need to Talk About Parallel Universes | Know Your Meme,38.929134,-0.5890288
09 F9 11 02 9D 74 E3 5B D8 41 56 C5 63 56 88 C0 | Know Your Meme,37.21838,2.0546236
"1 2 Buckle My Shoe, 3 4 Buckle Some More, 5 6 Nike Kicks | Know Your Meme",-26.353256,11.457716
"1, 2 Oatmeal | Know Your Meme",-19.37951,-10.497234
"""1 AM"" by Civ / Pop Out at One In The Morning / AI Bear Song | Know Your Meme",-25.962578,8.611077
1 Billion Lions vs. 1 of Every Pokémon | Know Your Meme,15.01715,-26.684792
1 Guy 1 Jar | Know Your Meme,-21.671976,-4.1973305
1 Guy 1 Jar Death Rumor | Know Your Meme,0.62619084,33.702946
[10] Guy | Know Your Meme,10.815345,8.612886
10 Hours of Walking in NYC | Know Your Meme,-14.539934,22.489765
10x Engineer | Know Your Meme,17.17883,25.239227
110 Million Memories! / Okkusenman! | Know Your Meme,-20.388842,-12.811031
12 Year Olds | Know Your Meme,17.685179,22.096415
1337 speak | Know Your Meme,27.591743,-3.326542
14 Words / 1488 | Know Your Meme,40.38094,10.453787
15-Minute City | Know Your Meme,-15.212744,32.368656
17 Squares In A Larger Square | Know Your Meme,-6.505308,15.482265
1721 Deitz Nuützen Painting Hoax | Know Your Meme,-1.3862885,10.990776
19 Dollar Fortnite Card | Know Your Meme,-17.142328,0.5063318
19 Inches of Venom | Know Your Meme,-16.590654,-28.516619
19th Birthday In Poland | Know Your Meme,-3.9205234,28.470177
2 Chopper 2 Hundred Shots Bang | Know Your Meme,-18.391087,4.762339
200% Mad | Know Your Meme,-5.1616936,-10.456444
2006 Honda Civic (ai_sponge) | Know Your Meme,-14.467392,3.4631028
2016 Prime Gail Lewis | Know Your Meme,-23.265953,11.297189
2023 U.S. Gas Stove Ban Hoax | Know Your Meme,-18.090351,34.995277
2/10 Would Not Bang | Know Your Meme,1.4416785,1.3013674
21st Century Humor | Know Your Meme,12.934682,-2.4785075
241543903 / Heads In Freezers | Know Your Meme,-0.5952738,-0.7108965
28 Stab Wounds | Know Your Meme,-23.843418,-22.444311
2meirl4meirl | Know Your Meme,31.698812,0.63577265
2Spooky | Know Your Meme,-5.923888,-7.673023
:3 / Cat Face | Know Your Meme,24.117956,-4.1871357
30-50 Feral Hogs | Know Your Meme,-8.887681,24.705236
30-Year-Old Boomer | Know Your Meme,9.68679,5.852882
30-Year-Old Virgin Wizard | Know Your Meme,31.689976,-11.559384
304 (Slang) | Know Your Meme,29.265404,1.3040313
"324 Front Street Barnum, Iowa Google Street View Flasher | Know Your Meme",-1.1981705,23.329344
4 Panel Cringe | Know Your Meme,7.2026424,12.960858
420 Blaze It | Know Your Meme,-12.534626,-23.358091
48÷2(9+3) = ? | Know Your Meme,-7.947053,17.20354
4chan ASCII Triforce Fails | Know Your Meme,7.6630735,1.0230128
4chan Drinking Game Cards | Know Your Meme,29.68279,12.575429
4chan Party Van | Know Your Meme,10.134282,3.7154598
5 Big Booms | Know Your Meme,-14.125977,6.805092
50 DKP Minus / Onyxia Wipe / More Dots | Know Your Meme,-14.180645,-1.1619451
51 Things in My Room | Know Your Meme,-31.983822,-7.9330072
55 Minute Standing Ovation From Me In My Living Room | Know Your Meme,-23.885796,-8.260219
5x30 5 Min/Day | Know Your Meme,-20.694174,5.4364963
"6-7 Song / ""Doot Doot"" by Skrilla | Know Your Meme",-26.118738,10.28564
60-Year-Old Girl | Know Your Meme,3.0446434,12.382045
$600 Stimmy | Know Your Meme,-2.9925828,24.086754
60's Spider-Man | Know Your Meme,-4.354662,-25.247393
60's Spider-Man Rhino | Know Your Meme,-17.10277,-29.22153
"64 Bits, 32 Bits, 16 Bits | Know Your Meme",-2.9501855,2.7497036
7 Grand Dad | Know Your Meme,34.46891,-16.406301
777 Filters on TikTok | Know Your Meme,-22.637098,38.53013
9 + 10 = 21 | Know Your Meme,-17.374342,13.290739
9 out of 10 Dentists | Know Your Meme,-11.955137,-16.970985
A Blessing From The Lord! | Know Your Meme,21.126734,-26.55557
A Challenger Appears | Know Your Meme,13.245542,-33.533737
A Circle?? In the Triangle Factory?? / I Guess We Doin Circles Now | Know Your Meme,21.239765,-1.0582036
"A Delayed Game Is Eventually Good, But a Bad Game Is Bad Forever | Know Your Meme",11.776841,-28.841349
A Man Has Fallen Into the River in Lego City | Know Your Meme,-15.754975,-21.414434
A Scary Time | Know Your Meme,-5.7474217,28.32607
A Wild X Appears! / Wild X Appeared! | Know Your Meme,29.959143,20.166513
A Winner Is You | Know Your Meme,13.566197,-33.077168
Aaaaaaaa | Know Your Meme,-19.21399,-20.362886
Abandon Thread | Know Your Meme,20.203592,-12.173265
Abbey Road Parodies | Know Your Meme,-43.094875,3.652538
Abby Buttsex Edits | Know Your Meme,-6.185755,1.3660007
Abby Choke Edits | Know Your Meme,-6.1377926,1.2877886
Abby (The Last of Us Part II) | Know Your Meme,-7.098618,2.0161724
Abridged Series | Know Your Meme,31.335241,13.348493
Absolute Cinema | Know Your Meme,-6.142403,-20.261713
Absolute Unit | Know Your Meme,21.161945,-10.729267
Absolutely Disgusting | Know Your Meme,0.8866882,-6.6143994
Absolutely Not Go Fuck Yourself / Look Mommy It's Shrek | Know Your Meme,4.202864,9.283903
Abu Hajaar | Know Your Meme,14.782196,31.884571
ACAB / 1312 | Know Your Meme,32.106186,-16.744726
